user_id,interests
0,"['boho', 'summer', 'feminine']"
1,"['streetwear', 'sneakers', 'urban']"
2,"['minimalist', 'neutrals', 'sustainable']"
3,"['vintage', 'fall', 'denim']"
4,"['formal', 'classic', 'blazer']"
5,"['activewear', 'yoga', 'athleisure']"
6,"['casual', 'denim', 'comfortable']"
7,"['elegant', 'gown', 'evening']"
8,"['cozy', 'sweater', 'fall']"
9,"['plaid', 'flannel', 'cozy']"
10,"['high-waisted', 'chic', 'trousers']"
11,"['retro', 'casual', 'sneakers']"
12,"['floral', 'summer', 'feminine']"
13,"['athletic', 'running', 'activewear']"
14,"['chic', 'handbag', 'leather']"
15,"['woven', 'tote', 'summer']"
16,"['classic', 'casual', 'sneakers']"
17,"['graphic', 'tee', 'vintage']"
18,"['tailored', 'wool', 'coat']"
19,"['sporty', 'windbreaker', 'activewear']"
20,"['plaid', 'A-line', 'skirt']"
21,"['chunky', 'knit', 'cardigan']"
22,"['casual', 'slip-on', 'footwear']"
23,"['elegant', 'silk', 'summer']"
24,"['denim', 'overalls', 'casual']"
25,"['sporty', 'tees', 'logo']"
26,"['vintage', 'flats', 'casual']"
27,"['bohemian', 'necklace', 'trending']"
28,"['tailored', 'shoes', 'smart']"
29,"['casual', 'backpack', 'canvas']"
30,"['sporty', 'running', 'shoes']"
31,"['elegant', 'clutch', 'bag']"
32,"['graphic', 'hoodie', 'bold']"
33,"['floral', 'wrap dress', 'summer']"
34,"['casual', 'polo shirt', 'smart']"
35,"['leather', 'ankle boots', 'footwear']"
36,"['sporty', 'track pants', 'activewear']"
37,"['vintage', 'sunglasses', 'accessories']"
38,"['casual', 'graphic tank top', 'tops']"
39,"['tailored', 'suit jacket', 'formal']"
40,"['sporty', 'baseball cap', 'casual']"
41,"['chunky', 'platform sneakers', 'footwear']"
42,"['elegant', 'lace blouse', 'tops']"
43,"['casual', 'denim shorts', 'bottoms']"
44,"['sporty', 'zip-up hoodie', 'outerwear']"
45,"['floral print', 'outerwear']"
46,"['casual slip-on sneakers', 'footwear']"
47,"['elegant pearl earrings', 'accessories']"
48,"['sporty athletic tank top', 'tops']"
49,"['casual hoodie with logo', 'outerwear']"
50,"['tailored dress pants', 'bottoms']"
